,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
193,2021-05-25 15:33:44.107,,,,,-0.0,,,,
194,2021-05-25 15:33:44.127,,,,,,-0.1,,,
195,2021-05-25 15:33:44.147,,,,,,,0.2,,
196,2021-05-25 15:33:44.163,,,,,,,,-0.9,
197,2021-05-25 15:33:44.179,,,,,,,,,0.0
198,2021-05-25 15:33:44.688,,,,1.0,,,,,
199,2021-05-25 15:33:44.736,,,,,-0.1,,,,
200,2021-05-25 15:33:44.748,,,,,,-0.1,,,
201,2021-05-25 15:33:44.759,,,,,,,0.3,,
202,2021-05-25 15:33:44.766,,,,,,,,0.2,
203,2021-05-25 15:33:44.781,,,,,,,,,-0.1
204,2021-05-25 15:33:45.323,,,,1.0,,,,,
205,2021-05-25 15:33:45.367,,,,,-0.1,,,,
206,2021-05-25 15:33:45.392,,,,,,-0.1,,,
207,2021-05-25 15:33:45.397,,,,,,,-0.1,,
208,2021-05-25 15:33:45.416,,,,,,,,-0.2,
209,2021-05-25 15:33:45.417,,,,,,,,,0.1
210,2021-05-25 15:33:45.952,,,,1.0,,,,,
211,2021-05-25 15:33:46.019,,,,,-0.1,,,,
212,2021-05-25 15:33:46.029,,,,,,-0.1,,,
213,2021-05-25 15:33:46.038,,,,,,,-0.0,,
214,2021-05-25 15:33:46.046,,,,,,,,-0.1,
215,2021-05-25 15:33:46.059,,,,,,,,,0.0
216,2021-05-25 15:33:46.584,,,,1.0,,,,,
217,2021-05-25 15:33:46.640,,,,,-0.0,,,,
218,2021-05-25 15:33:46.661,,,,,,-0.1,,,
219,2021-05-25 15:33:46.668,,,,,,,0.0,,
220,2021-05-25 15:33:46.679,,,,,,,,-0.2,
221,2021-05-25 15:33:46.690,,,,,,,,,-0.1
222,2021-05-25 15:33:47.216,,,,1.0,,,,,
223,2021-05-25 15:33:47.247,,,,,-0.1,,,,
224,2021-05-25 15:33:47.266,,,,,,-0.2,,,
225,2021-05-25 15:33:47.276,,,,,,,-0.1,,
226,2021-05-25 15:33:47.277,,,,,,,,-0.0,
227,2021-05-25 15:33:47.293,,,,,,,,,0.1
228,2021-05-25 15:33:47.845,,,,1.0,,,,,
229,2021-05-25 15:33:47.847,,,,,-0.1,,,,
230,2021-05-25 15:33:47.868,,,,,,-0.1,,,
231,2021-05-25 15:33:47.878,,,,,,,-0.0,,
232,2021-05-25 15:33:47.886,,,,,,,,-0.1,
233,2021-05-25 15:33:47.896,,,,,,,,,0.0
234,2021-05-25 15:33:48.481,,,,1.0,,,,,
235,2021-05-25 15:33:48.499,,,,,-0.1,,,,
236,2021-05-25 15:33:48.516,,,,,,-0.1,,,
237,2021-05-25 15:33:48.531,,,,,,,0.0,,
238,2021-05-25 15:33:48.546,,,,,,,,0.0,
239,2021-05-25 15:33:48.563,,,,,,,,,0.2
240,2021-05-25 15:33:49.113,,,,1.0,,,,,
241,2021-05-25 15:33:49.139,,,,,-0.1,,,,
242,2021-05-25 15:33:49.148,,,,,,-0.1,,,
243,2021-05-25 15:33:49.165,,,,,,,0.1,,
244,2021-05-25 15:33:49.177,,,,,,,,0.1,
245,2021-05-25 15:33:49.188,,,,,,,,,-0.0
246,2021-05-25 15:33:49.746,,,,1.0,,,,,
247,2021-05-25 15:33:49.761,,,,,-0.0,,,,
248,2021-05-25 15:33:49.782,,,,,,-0.2,,,
249,2021-05-25 15:33:49.798,,,,,,,-0.0,,
250,2021-05-25 15:33:49.812,,,,,,,,0.2,
251,2021-05-25 15:33:49.825,,,,,,,,,-0.1
252,2021-05-25 15:33:50.386,,,,1.0,,,,,
253,2021-05-25 15:33:50.448,,,,,-0.1,,,,
254,2021-05-25 15:33:50.465,,,,,,-0.1,,,
255,2021-05-25 15:33:50.475,,,,,,,-0.1,,
256,2021-05-25 15:33:50.476,,,,,,,,0.1,
257,2021-05-25 15:33:50.492,,,,,,,,,-0.0
258,2021-05-25 15:33:51.008,,,,1.0,,,,,
259,2021-05-25 15:33:51.034,,,,,-0.1,,,,
260,2021-05-25 15:33:51.100,,,,,,-0.2,,,
261,2021-05-25 15:33:51.165,,,,,,,-0.2,,
262,2021-05-25 15:33:51.190,,,,,,,,0.0,
263,2021-05-25 15:33:51.208,,,,,,,,,0.0
264,2021-05-25 15:33:51.649,,,,1.0,,,,,
265,2021-05-25 15:33:51.698,,,,,-0.1,,,,
266,2021-05-25 15:33:51.707,,,,,,-0.1,,,
267,2021-05-25 15:33:51.722,,,,,,,0.0,,
268,2021-05-25 15:33:51.727,,,,,,,,-0.1,
269,2021-05-25 15:33:51.738,,,,,,,,,-0.1
270,2021-05-25 15:33:52.297,,,,1.0,,,,,
271,2021-05-25 15:33:52.315,,,,,-0.1,,,,
272,2021-05-25 15:33:52.326,,,,,,-0.1,,,
273,2021-05-25 15:33:52.335,,,,,,,-0.1,,
274,2021-05-25 15:33:52.346,,,,,,,,-0.1,
275,2021-05-25 15:33:52.356,,,,,,,,,-0.0
276,2021-05-25 15:33:52.915,,,,1.0,,,,,
277,2021-05-25 15:33:52.939,,,,,-0.0,,,,
278,2021-05-25 15:33:52.957,,,,,,-0.1,,,
279,2021-05-25 15:33:52.970,,,,,,,-0.2,,
280,2021-05-25 15:33:52.975,,,,,,,,-0.1,
281,2021-05-25 15:33:52.989,,,,,,,,,0.0
282,2021-05-25 15:33:53.573,,,,1.0,,,,,
283,2021-05-25 15:33:53.637,,,,,-0.1,,,,
284,2021-05-25 15:33:53.658,,,,,,-0.1,,,
285,2021-05-25 15:33:53.672,,,,,,,0.1,,
286,2021-05-25 15:33:53.677,,,,,,,,0.0,
287,2021-05-25 15:33:53.697,,,,,,,,,-0.0
288,2021-05-25 15:33:54.197,,,,1.0,,,,,
289,2021-05-25 15:33:54.247,,,,,-0.1,,,,
290,2021-05-25 15:33:54.276,,,,,,-0.1,,,
291,2021-05-25 15:33:54.287,,,,,,,0.0,,
292,2021-05-25 15:33:54.295,,,,,,,,0.0,
293,2021-05-25 15:33:54.307,,,,,,,,,0.0
294,2021-05-25 15:33:54.831,,,,1.0,,,,,
295,2021-05-25 15:33:54.876,,,,,-0.0,,,,
296,2021-05-25 15:33:54.893,,,,,,-0.1,,,
297,2021-05-25 15:33:54.905,,,,,,,-0.1,,
298,2021-05-25 15:33:54.906,,,,,,,,-0.1,
299,2021-05-25 15:33:54.921,,,,,,,,,-0.1
300,2021-05-25 15:33:55.534,,,,1.0,,,,,
301,2021-05-25 15:33:55.561,,,,,-0.1,,,,
302,2021-05-25 15:33:55.586,,,,,,-0.1,,,
303,2021-05-25 15:33:55.607,,,,,,,0.1,,
304,2021-05-25 15:33:55.679,,,,,,,,-0.1,
305,2021-05-25 15:33:55.712,,,,,,,,,0.0
306,2021-05-25 15:33:56.101,,,,1.0,,,,,
307,2021-05-25 15:33:56.156,,,,,-0.1,,,,
308,2021-05-25 15:33:56.169,,,,,,-0.1,,,
309,2021-05-25 15:33:56.186,,,,,,,0.3,,
310,2021-05-25 15:33:56.196,,,,,,,,-0.1,
311,2021-05-25 15:33:56.206,,,,,,,,,-0.0
312,2021-05-25 15:33:56.738,,,,1.0,,,,,
313,2021-05-25 15:33:56.790,,,,,-0.1,,,,
314,2021-05-25 15:33:56.805,,,,,,-0.1,,,
315,2021-05-25 15:33:56.818,,,,,,,0.0,,
316,2021-05-25 15:33:56.826,,,,,,,,-0.1,
317,2021-05-25 15:33:56.836,,,,,,,,,0.1
318,2021-05-25 15:33:57.368,,,,1.0,,,,,
319,2021-05-25 15:33:57.406,,,,,-0.1,,,,
320,2021-05-25 15:33:57.427,,,,,,-0.1,,,
321,2021-05-25 15:33:57.445,,,,,,,0.1,,
322,2021-05-25 15:33:57.457,,,,,,,,0.1,
323,2021-05-25 15:33:57.469,,,,,,,,,0.2
324,2021-05-25 15:33:57.987,,,,1.0,,,,,
325,2021-05-25 15:33:58.000,,,,,-0.0,,,,
326,2021-05-25 15:33:58.016,,,,,,-0.1,,,
327,2021-05-25 15:33:58.056,,,,,,,0.1,,
328,2021-05-25 15:33:58.076,,,,,,,,0.0,
329,2021-05-25 15:33:58.125,,,,,,,,,-0.0
330,2021-05-25 15:33:58.630,,,,1.0,,,,,
331,2021-05-25 15:33:58.707,,,,,-0.1,,,,
332,2021-05-25 15:33:58.717,,,,,,-0.1,,,
333,2021-05-25 15:33:58.733,,,,,,,0.1,,
334,2021-05-25 15:33:58.749,,,,,,,,-0.0,
335,2021-05-25 15:33:58.757,,,,,,,,,0.1
336,2021-05-25 15:33:59.252,,,,1.0,,,,,
337,2021-05-25 15:33:59.277,,,,,-0.1,,,,
338,2021-05-25 15:33:59.304,,,,,,-0.1,,,
339,2021-05-25 15:33:59.317,,,,,,,-0.0,,
340,2021-05-25 15:33:59.337,,,,,,,,-0.3,
341,2021-05-25 15:33:59.347,,,,,,,,,-0.0
342,2021-05-25 15:33:59.897,,,,1.0,,,,,
343,2021-05-25 15:33:59.956,,,,,-0.1,,,,
344,2021-05-25 15:33:59.967,,,,,,-0.1,,,
345,2021-05-25 15:33:59.982,,,,,,,0.1,,
346,2021-05-25 15:33:59.986,,,,,,,,0.0,
347,2021-05-25 15:34:00.016,,,,,,,,,0.1
348,2021-05-25 15:34:00.550,,,,1.0,,,,,
349,2021-05-25 15:34:00.575,,,,,-0.1,,,,
350,2021-05-25 15:34:00.586,,,,,,-0.1,,,
351,2021-05-25 15:34:00.600,,,,,,,0.1,,
